incident,severity,kind,type,category,indicator_defanged,indicator_clean,context,seen,sources
CVE-2026-21962 — Oracle HTTP Server/WebLogic Proxy flaw fuels 7-month China-linked campaign across 100+ countries,CRITICAL,CVE · EXPLOITED · KEV · NATION-STATE,tool,host,SNOWLIGHT downloader,SNOWLIGHT downloader,Follow-on payload delivered by the China-linked actor exploiting CVE-2026-21962,AUG 24,https://www.securityweek.com/cisa-warns-of-exploited-oracle-weblogic-vulnerability/ https://thehackernews.com/2026/08/actively-exploited-oracle-weblogic-flaw.html
CVE-2026-21962 — Oracle HTTP Server/WebLogic Proxy flaw fuels 7-month China-linked campaign across 100+ countries,CRITICAL,CVE · EXPLOITED · KEV · NATION-STATE,detection,net,Unauthenticated HTTP requests to Oracle HTTP Server/WebLogic Proxy Plug-in endpoints from unexpected sources,Unauthenticated HTTP requests to Oracle HTTP Server/WebLogic Proxy Plug-in endpoints from unexpected sources,"China-linked exploitation pattern per SOCRadar; CloudSEK honeypot recorded 140,000+ attempts from 21 countries over 12 days",AUG 24,https://www.securityweek.com/cisa-warns-of-exploited-oracle-weblogic-vulnerability/ https://thehackernews.com/2026/08/actively-exploited-oracle-weblogic-flaw.html
IRGC-linked CyberAv3ngers shut down a UK power plant for four days — first confirmed British power-generation standstill,CRITICAL,ICS/OT · NATION-STATE · CRITICAL INFRASTRUCTURE,tool,host,CyberAv3ngers (IRGC-affiliated ICS/PLC-focused actor),CyberAv3ngers (IRGC-affiliated ICS/PLC-focused actor),Group responsible for the July 2026 UK power plant shutdown,AUG 22,https://www.securityweek.com/iran-linked-hackers-shut-down-uk-power-plant-for-four-days/ https://www.cnbc.com/2026/08/23/small-uk-power-plant-shut-down-after-iran-linked-cyberattack-report.html
IRGC-linked CyberAv3ngers shut down a UK power plant for four days — first confirmed British power-generation standstill,CRITICAL,ICS/OT · NATION-STATE · CRITICAL INFRASTRUCTURE,detection,net,Internet-exposed PLC management interfaces reachable without VPN/gateway restriction,Internet-exposed PLC management interfaces reachable without VPN/gateway restriction,Primary exposure this actor exploits across its victim set,AUG 22,https://www.securityweek.com/iran-linked-hackers-shut-down-uk-power-plant-for-four-days/ https://www.cnbc.com/2026/08/23/small-uk-power-plant-shut-down-after-iran-linked-cyberattack-report.html
"Manchester Airports Group breach exposes 8.7 million customers, hackers demand ransom, MAG refuses",HIGH,DATA BREACH · EXTORTION · AVIATION,detection,host,"Unauthorized access to car park, lounge, Fast Track, and Wi-Fi registration databases across Manchester/Stansted/East Midlands airports","Unauthorized access to car park, lounge, Fast Track, and Wi-Fi registration databases across Manchester/Stansted/East Midlands airports",Scope of the confirmed breach,AUG 28,https://therecord.media/cyberattack-on-manchester-airports-group-exposes-millions-customer-info https://cybernews.com/security/manchester-airport-cyber-attack-9-million-wifi-data-breach/
Qilin ransomware claims ATF hack; DOJ designates it a 'major incident',HIGH,RANSOMWARE · GOVERNMENT · MAJOR INCIDENT,tool,host,Qilin ransomware (double-extortion group),Qilin ransomware (double-extortion group),Group publicly claiming the ATF compromise,AUG 26,https://www.securityweek.com/atf-confirms-cyber-incident-after-ransomware-group-claims-attack/ https://techcrunch.com/2026/08/27/atf-declares-major-incident-as-ransomware-gang-claims-hack/
Two root RCE chains disclosed in Unitree G1 EDU humanoid robot — one exploitable over Bluetooth,HIGH,CVE · ROBOTICS · ROOT RCE,cve,host,CVE-2026-76639 / CVE-2026-76640,CVE-2026-76639 / CVE-2026-76640,Unitree G1 EDU root RCE via chat_go/bashrunner path traversal (network-adjacent) and BLE proximity ('UniBLEed'),AUG 27,https://thehackernews.com/2026/08/two-unitree-g1-edu-humanoid-robot-flaws.html https://boschko.ca/g1-ble-rce/
Two root RCE chains disclosed in Unitree G1 EDU humanoid robot — one exploitable over Bluetooth,HIGH,CVE · ROBOTICS · ROOT RCE,detection,net,Unexpected BLE pairing attempts or chat_go knowledge-base upload requests against a G1 EDU unit,Unexpected BLE pairing attempts or chat_go knowledge-base upload requests against a G1 EDU unit,Precursor to exploitation for CVE-2026-76639/76640,AUG 27,https://thehackernews.com/2026/08/two-unitree-g1-edu-humanoid-robot-flaws.html https://boschko.ca/g1-ble-rce/
"GPUThor Rowhammer attack defeats ECC on NVIDIA RTX A6000, achieves host root shell",HIGH,HARDWARE · ROWHAMMER · GPU RESEARCH,tool,host,GPUThor Rowhammer technique (no CVE assigned),GPUThor Rowhammer technique (no CVE assigned),"Defeats NVIDIA ECC on RTX A6000, escalates to host root via GPU page-table corruption",AUG 25,https://thehackernews.com/2026/08/gputhor-rowhammer-defeats-ecc-on-nvidia.html https://www.bleepingcomputer.com/news/security/new-gputhor-attack-defeats-nvidia-ecc-protection-for-root-access/
"GPUThor Rowhammer attack defeats ECC on NVIDIA RTX A6000, achieves host root shell",HIGH,HARDWARE · ROWHAMMER · GPU RESEARCH,detection,host,Elevated ECC error counts or unexplained GPU resets (~every 2 hours) on shared/multi-tenant GPU infrastructure,Elevated ECC error counts or unexplained GPU resets (~every 2 hours) on shared/multi-tenant GPU infrastructure,Operational symptom of an active GPUThor attack,AUG 27,https://thehackernews.com/2026/08/gputhor-rowhammer-defeats-ecc-on-nvidia.html https://www.bleepingcomputer.com/news/security/new-gputhor-attack-defeats-nvidia-ecc-protection-for-root-access/
Boston Scientific cyberattack disrupts global order processing and shipping,HIGH,CYBERATTACK · MEDICAL DEVICE MANUFACTURER,detection,host,Loss of access to order-processing and shipping business applications across a multinational manufacturing environment,Loss of access to order-processing and shipping business applications across a multinational manufacturing environment,Reported operational impact pattern,AUG 25,https://techcrunch.com/2026/08/26/medical-device-maker-boston-scientific-says-a-cyberattack-is-causing-a-global-disruption-to-its-operations/ https://www.theregister.com/security/2026/08/26/boston-scientific-discloses-global-disruption-in-ongoing-cyberattack/5292641
Two Australians charged over TeamPCP's Trivy/Checkmarx KICS/LiteLLM supply-chain compromises,MEDIUM,LAW ENFORCEMENT · SUPPLY CHAIN,package,host,"Trivy / Checkmarx KICS / LiteLLM (poisoned releases, March 2026)","Trivy / Checkmarx KICS / LiteLLM (poisoned releases, March 2026)",Trusted open-source projects compromised via stolen publishing credentials,MAR 2026,https://thehackernews.com/2026/08/alleged-teampcp-hackers-charged-in.html https://www.bleepingcomputer.com/news/security/australia-arrests-alleged-teampcp-hackers-behind-supply-chain-attacks/
Two Australians charged over TeamPCP's Trivy/Checkmarx KICS/LiteLLM supply-chain compromises,MEDIUM,LAW ENFORCEMENT · SUPPLY CHAIN,filename,host,tpcp-docs ; docs-tpcp,tpcp-docs ; docs-tpcp,Repository names created by the TeamPCP worm as it propagated,MAR 2026,https://thehackernews.com/2026/08/alleged-teampcp-hackers-charged-in.html https://www.bleepingcomputer.com/news/security/australia-arrests-alleged-teampcp-hackers-behind-supply-chain-attacks/
24 npm packages abuse unpkg mirror infrastructure to host fake Cloudflare CAPTCHA / ClickFix phishing pages,MEDIUM,SUPPLY CHAIN · NPM · PHISHING,package,host,"bgzxcuite2, prezdentkxheiw, egair0810, mnteckets, airdzticket, egypt0811, passport811, vxhjkseuiaqkb, ndmushdkeqe, ndmxchdjxn2, ndmfguyhoxc3, mjsdqwocvn, m2fcsfyjkuxb, m3fdfocdoewn, @worrisome/reutil, testdgdbcsd, tesgfvbncsdbcv, mndsxcusiwlk1, mn2adskhweox, mn3sadkoiewu, mn4xcouzvhus, mbxcnsuwgs1, skxcmwuncbg2, mobiwaefhxc3","bgzxcuite2, prezdentkxheiw, egair0810, mnteckets, airdzticket, egypt0811, passport811, vxhjkseuiaqkb, ndmushdkeqe, ndmxchdjxn2, ndmfguyhoxc3, mjsdqwocvn, m2fcsfyjkuxb, m3fdfocdoewn, @worrisome/reutil, testdgdbcsd, tesgfvbncsdbcv, mndsxcusiwlk1, mn2adskhweox, mn3sadkoiewu, mn4xcouzvhus, mbxcnsuwgs1, skxcmwuncbg2, mobiwaefhxc3",24 malicious npm packages hosting the ClickFix/fake-CAPTCHA HTML payload,AUG 4-24,https://thehackernews.com/2026/08/24-npm-packages-abuse-unpkg-mirrors-to.html https://www.ox.security/blog/research-clickfix-phishing-npm-packages/
24 npm packages abuse unpkg mirror infrastructure to host fake Cloudflare CAPTCHA / ClickFix phishing pages,MEDIUM,SUPPLY CHAIN · NPM · PHISHING,host-name,net,login[.]microsofte[.]live,login.microsofte.live,Typosquat phishing domain used before blocklisting,AUG 26,https://thehackernews.com/2026/08/24-npm-packages-abuse-unpkg-mirrors-to.html https://www.ox.security/blog/research-clickfix-phishing-npm-packages/
24 npm packages abuse unpkg mirror infrastructure to host fake Cloudflare CAPTCHA / ClickFix phishing pages,MEDIUM,SUPPLY CHAIN · NPM · PHISHING,host-name,net,api[.]keyval[.]org,api.keyval.org,Dead-drop resolver used to dynamically serve redirect URLs after the typosquat was blocked,AUG 26,https://thehackernews.com/2026/08/24-npm-packages-abuse-unpkg-mirrors-to.html https://www.ox.security/blog/research-clickfix-phishing-npm-packages/
"ReliaQuest employee tricked into approving spoofed MFA push; ShinyHunters claims deeper breach, ReliaQuest disputes it",MEDIUM,SOCIAL ENGINEERING · SECURITY VENDOR,tool,host,ShinyHunters-linked leak-site listing,ShinyHunters-linked leak-site listing,Claim of deeper compromise disputed by ReliaQuest,AUG 23,https://www.bleepingcomputer.com/news/security/reliaquest-confirms-failed-data-theft-attack-after-shinyhunters-breach/ https://www.helpnetsecurity.com/2026/08/25/reliaquest-breach-social-engineering/
"ReliaQuest employee tricked into approving spoofed MFA push; ShinyHunters claims deeper breach, ReliaQuest disputes it",MEDIUM,SOCIAL ENGINEERING · SECURITY VENDOR,detection,net,"Lookalike domain fronted by a CDN, hosting a cloned Okta SSO page (domain not publicly named by ReliaQuest)","Lookalike domain fronted by a CDN, hosting a cloned Okta SSO page (domain not publicly named by ReliaQuest)",Phishing infrastructure used in the social-engineering attempt — vendor withheld the specific domain,AUG 22,https://www.bleepingcomputer.com/news/security/reliaquest-confirms-failed-data-theft-attack-after-shinyhunters-breach/ https://www.helpnetsecurity.com/2026/08/25/reliaquest-breach-social-engineering/
AnonyMousKIT — AI voice-calling phishing-as-a-service bypasses Apple Activation Lock on stolen devices,MEDIUM,PHISHING-AS-A-SERVICE · AI VOICE,tool,host,AnonyMousKIT (AI voice-calling phishing-as-a-service),AnonyMousKIT (AI voice-calling phishing-as-a-service),"PhaaS platform targeting Apple credentials/Activation Lock bypass across 506 domains, 168 storefronts",AUG 24,https://socradar.io/blog/anonymouskit-ai-phaas-supply-chain/ https://thehackernews.com/2026/08/fake-apple-support-ai-calls-target.html
AnonyMousKIT — AI voice-calling phishing-as-a-service bypasses Apple Activation Lock on stolen devices,MEDIUM,PHISHING-AS-A-SERVICE · AI VOICE,host-name,net,anomkit[.]shop ; apple-login-imaps[.]com ; apple-thailand[.]co ; findsupport[.]live ; irealm-server[.]com,anomkit.shop ; apple-login-imaps.com ; apple-thailand.co ; findsupport.live ; irealm-server.com,Primary AnonyMousKIT infrastructure domains,AUG 24,https://socradar.io/blog/anonymouskit-ai-phaas-supply-chain/ https://thehackernews.com/2026/08/fake-apple-support-ai-calls-target.html
AnonyMousKIT — AI voice-calling phishing-as-a-service bypasses Apple Activation Lock on stolen devices,MEDIUM,PHISHING-AS-A-SERVICE · AI VOICE,host-name,net,apple-unlock[.]com ; key-unlock[.]com ; icloud-findmy[.]app ; gon-unlocker[.]pro ; projectpartapple[.]com ; kit-pro-bot[.]click ; center-one[.]online ; uktservice[.]sa[.]com,apple-unlock.com ; key-unlock.com ; icloud-findmy.app ; gon-unlocker.pro ; projectpartapple.com ; kit-pro-bot.click ; center-one.online ; uktservice.sa.com,Cross-brand storefront/backend domains sharing the same infrastructure,AUG 24,https://socradar.io/blog/anonymouskit-ai-phaas-supply-chain/ https://thehackernews.com/2026/08/fake-apple-support-ai-calls-target.html
AnonyMousKIT — AI voice-calling phishing-as-a-service bypasses Apple Activation Lock on stolen devices,MEDIUM,PHISHING-AS-A-SERVICE · AI VOICE,email,net,noreplyapple00000[at]gmail[.]com ; apple[.]nonreply[.]fmi[at]gmail[.]com ; applerecoverymanager[at]gmail[.]com,noreplyapple00000[at]gmail.com ; apple.nonreply.fmi[at]gmail.com ; applerecoverymanager[at]gmail.com,Sender/relay accounts impersonating Apple in phishing emails,AUG 24,https://socradar.io/blog/anonymouskit-ai-phaas-supply-chain/ https://thehackernews.com/2026/08/fake-apple-support-ai-calls-target.html
AnonyMousKIT — AI voice-calling phishing-as-a-service bypasses Apple Activation Lock on stolen devices,MEDIUM,PHISHING-AS-A-SERVICE · AI VOICE,detection,host,"Inbound call posing as Apple Support investigating a stolen/impounded device, requesting passcode or 2FA","Inbound call posing as Apple Support investigating a stolen/impounded device, requesting passcode or 2FA",Core social-engineering pretext used by the platform's AI voice agents,AUG 24,https://socradar.io/blog/anonymouskit-ai-phaas-supply-chain/ https://thehackernews.com/2026/08/fake-apple-support-ai-calls-target.html
South Korean government startup platform exposes personal data after encryption key shipped inside its own API,MEDIUM,DATA BREACH · KEY MANAGEMENT FAILURE,detection,host,Encryption key material present in the same API response as the ciphertext it protects,Encryption key material present in the same API response as the ciphertext it protects,Root-cause key-management failure identified in this breach,AUG 24,https://www.bleepingcomputer.com/news/security/south-korean-startup-platform-breach-exposes-key-management-failures/
