incident,severity,kind,type,category,indicator_defanged,indicator_clean,context,seen,sources
"CVE-2026-55040 — SharePoint forged-JWT auth bypass, exploited within 48 hours of PoC",CRITICAL,CVE · EXPLOITED · AUTH BYPASS,patch,host,KB5002882 / KB5002883 / KB5002891,KB5002882 / KB5002883 / KB5002891,July 2026 Patch Tuesday fixes per SharePoint edition,AUG 12,https://thehackernews.com/2026/08/attackers-exploit-sharepoint.html https://www.securityweek.com/sharepoint-vulnerability-exploited-shortly-after-poc-release/
LiteLLM/Trivy breach fallout — 153GB stolen-credential archive surfaces and gets analyzed,HIGH,SUPPLY CHAIN · CREDENTIAL LEAK,package,host,"litellm 1.82.7 / 1.82.8 (PyPI, published 2026-03-24)","litellm 1.82.7 / 1.82.8 (PyPI, published 2026-03-24)",Backdoored releases distributed via the compromised Trivy CI pipeline,AUG 13,https://www.helpnetsecurity.com/2026/08/13/litellm-breach-stolen-credentials-leak/ https://www.securityweek.com/over-2500-organizations-impacted-by-litellm-supply-chain-attack/
LiteLLM/Trivy breach fallout — 153GB stolen-credential archive surfaces and gets analyzed,HIGH,SUPPLY CHAIN · CREDENTIAL LEAK,host-name,net,gitlab[.]adswizz[.]com,gitlab.adswizz.com,Self-hosted GitLab instance referenced in the stolen-credential archive,AUG 13,https://www.helpnetsecurity.com/2026/08/13/litellm-breach-stolen-credentials-leak/ https://www.securityweek.com/over-2500-organizations-impacted-by-litellm-supply-chain-attack/
LiteLLM/Trivy breach fallout — 153GB stolen-credential archive surfaces and gets analyzed,HIGH,SUPPLY CHAIN · CREDENTIAL LEAK,detection,host,"153GB stolen-credential archive (433,909 files / 118,829 CI-runner dumps)","153GB stolen-credential archive (433,909 files / 118,829 CI-runner dumps)","Archive analyzed by Hudson Rock, covering ~2,488 corporate domains",AUG 13,https://www.helpnetsecurity.com/2026/08/13/litellm-breach-stolen-credentials-leak/ https://www.securityweek.com/over-2500-organizations-impacted-by-litellm-supply-chain-attack/
"CVE-2026-71362 — Adobe Commerce/Magento session-identity flaw, exploited within hours",HIGH,CVE · EXPLOITED · ACCOUNT TAKEOVER,cve,host,CVE-2026-71362,CVE-2026-71362,Adobe Commerce / Magento session-identity mismatch — unauth account takeover,AUG 12,https://www.bleepingcomputer.com/news/security/hackers-exploit-critical-adobe-commerce-flaw-to-hijack-customer-accounts/ https://helpx.adobe.com/security/products/magento/apsb26-92.html
"CVE-2026-71362 — Adobe Commerce/Magento session-identity flaw, exploited within hours",HIGH,CVE · EXPLOITED · ACCOUNT TAKEOVER,patch,host,"Adobe APSB26-92 (Commerce 2.4.4-2.4.9, Magento OS 2.4.6-2.4.9)","Adobe APSB26-92 (Commerce 2.4.4-2.4.9, Magento OS 2.4.6-2.4.9)","Isolated security patch, released Aug 11",AUG 12,https://www.bleepingcomputer.com/news/security/hackers-exploit-critical-adobe-commerce-flaw-to-hijack-customer-accounts/ https://helpx.adobe.com/security/products/magento/apsb26-92.html
"CVE-2026-71362 — Adobe Commerce/Magento session-identity flaw, exploited within hours",HIGH,CVE · EXPLOITED · ACCOUNT TAKEOVER,detection,host,Customer session bound to a different account identity than the authenticated login,Customer session bound to a different account identity than the authenticated login,Core exploitation signature,AUG 12,https://www.bleepingcomputer.com/news/security/hackers-exploit-critical-adobe-commerce-flaw-to-hijack-customer-accounts/ https://helpx.adobe.com/security/products/magento/apsb26-92.html
"CVE-2026-20349 — Cisco ASA/FTD SSL VPN heap-inspection DoS, added to KEV",HIGH,CVE · EXPLOITED · KEV,cve,host,CVE-2026-20349,CVE-2026-20349,ASA/FTD Remote Access SSL VPN heap inspection — unauth DoS,AUG 11,https://www.cisa.gov/news-events/alerts/2026/08/11/cisa-adds-three-known-exploited-vulnerabilities-catalog https://securityarsenal.com/blog/cve-2026-20349-cisco-asa-and-ftd-heap-inspection-vulnerability-under-active-exploitation-detection-and-remediation-guide
"CVE-2026-20349 — Cisco ASA/FTD SSL VPN heap-inspection DoS, added to KEV",HIGH,CVE · EXPLOITED · KEV,detection,host,"Reload/crash-traceback events (msg IDs 101001, 101002, 111008, 199013)","Reload/crash-traceback events (msg IDs 101001, 101002, 111008, 199013)",Device reload signature,AUG 11,https://www.cisa.gov/news-events/alerts/2026/08/11/cisa-adds-three-known-exploited-vulnerabilities-catalog https://securityarsenal.com/blog/cve-2026-20349-cisco-asa-and-ftd-heap-inspection-vulnerability-under-active-exploitation-detection-and-remediation-guide
"CVE-2026-20349 — Cisco ASA/FTD SSL VPN heap-inspection DoS, added to KEV",HIGH,CVE · EXPLOITED · KEV,detection,net,>200 connections/min to SSL VPN interface (msg IDs 302013/302015/302020),>200 connections/min to SSL VPN interface (msg IDs 302013/302015/302020),Connection-burst precursor to forced reload,AUG 11,https://www.cisa.gov/news-events/alerts/2026/08/11/cisa-adds-three-known-exploited-vulnerabilities-catalog https://securityarsenal.com/blog/cve-2026-20349-cisco-asa-and-ftd-heap-inspection-vulnerability-under-active-exploitation-detection-and-remediation-guide
"PicMo Group ransomware — randomized extensions, shadow-copy wipe",MEDIUM,RANSOMWARE · WINDOWS,filename,host,How to Restore Your Files.txt,How to Restore Your Files.txt,Ransom note filename,AUG 14,https://www.cyfirma.com/news/weekly-intelligence-report-14-aug-2026/
"PicMo Group ransomware — randomized extensions, shadow-copy wipe",MEDIUM,RANSOMWARE · WINDOWS,detection,host,vssadmin.exe Delete Shadows /all /quiet ; wmic shadowcopy delete /nointeractive,vssadmin.exe Delete Shadows /all /quiet ; wmic shadowcopy delete /nointeractive,Shadow-copy deletion prior to encryption,AUG 14,https://www.cyfirma.com/news/weekly-intelligence-report-14-aug-2026/
"PicMo Group ransomware — randomized extensions, shadow-copy wipe",MEDIUM,RANSOMWARE · WINDOWS,detection,host,"Sigma rule ""Potential PicMo Activity""","Sigma rule ""Potential PicMo Activity""",CYFIRMA-published detection,AUG 14,https://www.cyfirma.com/news/weekly-intelligence-report-14-aug-2026/
Umbral Stealer — .NET wallet/credential thief with Discord-webhook exfil,MEDIUM,INFOSTEALER · WINDOWS,sha256,hash,90d78c79fed001f3568b4d4bc7618bd91258c0a8425c9d2d278f7ffa4c9a557a,90d78c79fed001f3568b4d4bc7618bd91258c0a8425c9d2d278f7ffa4c9a557a,Umbral Stealer .NET payload,AUG 14,https://www.cyfirma.com/news/weekly-intelligence-report-14-aug-2026/
Umbral Stealer — .NET wallet/credential thief with Discord-webhook exfil,MEDIUM,INFOSTEALER · WINDOWS,detection,host,Mutex wE5p43lYJeQTllHUajMk,Mutex wE5p43lYJeQTllHUajMk,Umbral Stealer process mutex,AUG 14,https://www.cyfirma.com/news/weekly-intelligence-report-14-aug-2026/
Umbral Stealer — .NET wallet/credential thief with Discord-webhook exfil,MEDIUM,INFOSTEALER · WINDOWS,detection,net,Discord webhook exfil preceded by ip-api[.]com geolocation query,Discord webhook exfil preceded by ip-api.com geolocation query,C2/exfil pattern,AUG 14,https://www.cyfirma.com/news/weekly-intelligence-report-14-aug-2026/
Umbral Stealer — .NET wallet/credential thief with Discord-webhook exfil,MEDIUM,INFOSTEALER · WINDOWS,tool,host,YARA rule UmbralStealer_v1_3,YARA rule UmbralStealer_v1_3,CYFIRMA-published detection,AUG 14,https://www.cyfirma.com/news/weekly-intelligence-report-14-aug-2026/
"ExfilSquad extortion group breaches Wesco via cloud CRM, claims 2.6M records",MEDIUM,DATA EXTORTION · SUPPLY CHAIN,tool,host,"ExfilSquad data-leak site (onion, torrent-distributed dumps)","ExfilSquad data-leak site (onion, torrent-distributed dumps)",Extortion-without-encryption group active since mid-2026,AUG 11,https://www.bleepingcomputer.com/news/security/wesco-confirms-security-incident-after-exfilsquad-claims-data-theft/ https://www.resecurity.com/blog/article/exfilsquad-targets-new-victims-shares-data-via-torrents
"ExfilSquad extortion group breaches Wesco via cloud CRM, claims 2.6M records",MEDIUM,DATA EXTORTION · SUPPLY CHAIN,detection,host,Batch-compromise pattern: multiple unrelated victims sharing one ransom deadline,Batch-compromise pattern: multiple unrelated victims sharing one ransom deadline,"Indicates shared SaaS/CRM platform compromise, not individual intrusions",AUG 11,https://www.bleepingcomputer.com/news/security/wesco-confirms-security-incident-after-exfilsquad-claims-data-theft/ https://www.resecurity.com/blog/article/exfilsquad-targets-new-victims-shares-data-via-torrents
