incident,severity,kind,type,category,indicator_defanged,indicator_clean,context,seen,sources
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,sha256,hash,f0062f7e70e61493684a2f60748a475168e155bc2502163c844c42e87692abd0,f0062f7e70e61493684a2f60748a475168e155bc2502163c844c42e87692abd0,Go stealer executable (ARM64),AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,sha256,hash,619a99ba4ee9d7f33db8045c7e03c4265424977993fe8a53b0f45157c5abd3e5,619a99ba4ee9d7f33db8045c7e03c4265424977993fe8a53b0f45157c5abd3e5,Go stealer executable (x86_64),AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,sha256,hash,5bad988affc1094f12b8b8bed659ef55b20e2988eb25441e1c1b34dd03b3eb52,5bad988affc1094f12b8b8bed659ef55b20e2988eb25441e1c1b34dd03b3eb52,Profiler / loader Bash script,AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,sha256,hash,b43a909a01e954d6549558f2f7e9bb58e34959a0ae229f340d61091ab726bbd3,b43a909a01e954d6549558f2f7e9bb58e34959a0ae229f340d61091ab726bbd3,Persistence payload,AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,ip,net,193[.]29[.]224[.]151,193.29.224.151,Hosted the initial loader script,AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,ip,net,77[.]221[.]152[.]34,77.221.152.34,Hosted malware payloads,AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,ip,net,138[.]124[.]118[.]69,138.124.118.69,C2 server (8133/tcp),AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,domain,net,profitnow[.]io,profitnow.io,Domain used in the ClickFix phase,AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,path,host,$HOME/Library/LaunchAgents/com.apple.softwareupdated.plist,$HOME/Library/LaunchAgents/com.apple.softwareupdated.plist,Launch-agent persistence (also caches/com.apple.softwareupdate/SoftwareUpdate),AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
ClickFix macOS Go stealer — DRAIN routine empties crypto wallets,HIGH,MACOS · INFOSTEALER · CRYPTO-DRAINER,path,host,$HOME/Library/Caches/com.apple.trustd/com.apple.verified,$HOME/Library/Caches/com.apple.trustd/com.apple.verified,Staged payload (also caches/homeenergyd/com.apple.homeenergyd),AUG 6,https://www.huntress.com/blog/mac-crypto-draining-malware https://thehackernews.com/2026/08/clickfix-attacks-deliver-macos-stealer.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,sha256,hash,2b6cdafdfe427a3de1a94a8a2ca1f09fc4c8f90e4f59089fd9b35b73185ed01c,2b6cdafdfe427a3de1a94a8a2ca1f09fc4c8f90e4f59089fd9b35b73185ed01c,Gen-1 FDMTP loader (Microsoft.ServiceHosting.Tools.dll),AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,sha256,hash,795594ad5e6f2868cc4d8ed12dabf4f3999a1477c6b250527c5ede9a98528fb9,795594ad5e6f2868cc4d8ed12dabf4f3999a1477c6b250527c5ede9a98528fb9,Gen-2 FDMTP loader,AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,sha256,hash,dc666e9c148bbca5e21d8c9a97143575c075f53360f135e0191aed9e8278d396,dc666e9c148bbca5e21d8c9a97143575c075f53360f135e0191aed9e8278d396,Encrypted FDMTP payload (update.bin),AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,domain,net,cdns3[.]51quickfox[.]cn,cdns3.51quickfox.cn,Masquerading update domain (registered 2025-06-09),AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,domain,net,www[.]icloud-cdn[.]net,www.icloud-cdn.net,FDMTP registration C2,AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,domain,net,www[.]google-apis[.]net,www.google-apis.net,FDMTP registration C2,AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,domain,net,www[.]techcheck1[.]com,www.techcheck1.com,FDMTP C2,AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,ip,net,47[.]238[.]64[.]56,47.238.64.56,FDMTP infrastructure cluster,AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,ip,net,154[.]223[.]75[.]206,154.223.75.206,FDMTP infrastructure cluster,AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,ip,net,45[.]158[.]180[.]250,45.158.180.250,FDMTP infrastructure cluster,AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,filename,host,Microsoft.ServiceHosting.Tools.dll,Microsoft.ServiceHosting.Tools.dll,Malicious DLL side-loaded by csmonitor.exe,AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
QuickFox VPN supply-chain compromise — FDMTP backdoor (Mustang Panda),HIGH,SUPPLY CHAIN · APT BACKDOOR,patch,host,QuickFox v3.59.6,QuickFox v3.59.6,Clean build with malicious components removed,AUG 4,https://www.fortinet.com/blog/threat-research/quickfox-supply-chain-attack-used-to-deploy-fdmtp-implant https://thehackernews.com/2026/08/quickfox-supply-chain-attack-delivers.html
CVE-2026-9198 — Langflow unauthenticated RCE mints SUPERUSER tokens,HIGH,CVE · EXPLOITED · KEV,cve,host,CVE-2026-9198,CVE-2026-9198,Langflow OSS 1.0.0-1.10.0 code injection — unauth RCE chain,AUG 4,https://thehackernews.com/2026/08/cisa-flags-langflow-rce-tomcat-and-n.html https://www.bleepingcomputer.com/news/security/cisa-orders-feds-to-patch-actively-exploited-langflow-rce-flaw/
CVE-2026-9198 — Langflow unauthenticated RCE mints SUPERUSER tokens,HIGH,CVE · EXPLOITED · KEV,path,net,/api/v1/auto_login,/api/v1/auto_login,"Unauthenticated, non-loopback-bound endpoint that mints SUPERUSER tokens",AUG 4,https://thehackernews.com/2026/08/cisa-flags-langflow-rce-tomcat-and-n.html https://www.bleepingcomputer.com/news/security/cisa-orders-feds-to-patch-actively-exploited-langflow-rce-flaw/
CVE-2026-9198 — Langflow unauthenticated RCE mints SUPERUSER tokens,HIGH,CVE · EXPLOITED · KEV,detection,host,SUPERUSER token issued to a non-loopback caller,SUPERUSER token issued to a non-loopback caller,Precedes the second-endpoint RCE step,AUG 4,https://thehackernews.com/2026/08/cisa-flags-langflow-rce-tomcat-and-n.html https://www.bleepingcomputer.com/news/security/cisa-orders-feds-to-patch-actively-exploited-langflow-rce-flaw/
"CVE-2026-18577 — N-able N-central auth bypass, RMM-to-endpoint pivot",HIGH,CVE · EXPLOITED · KEV,cve,host,CVE-2026-18577,CVE-2026-18577,Auth bypass — incomplete patch of CVE-2026-18556; fixed in 2026.3 HF1,AUG 4,https://thehackernews.com/2026/08/cisa-adds-exploited-n-able-n-central.html https://thehackernews.com/2026/08/n-able-says-attackers-take-over-n.html
"CVE-2026-18577 — N-able N-central auth bypass, RMM-to-endpoint pivot",HIGH,CVE · EXPLOITED · KEV,ip,net,173[.]249[.]252[.]200,173.249.252.200,Exploitation source IP,AUG 4,https://thehackernews.com/2026/08/cisa-adds-exploited-n-able-n-central.html https://thehackernews.com/2026/08/n-able-says-attackers-take-over-n.html
"CVE-2026-18577 — N-able N-central auth bypass, RMM-to-endpoint pivot",HIGH,CVE · EXPLOITED · KEV,ip,net,87[.]249[.]138[.]34,87.249.138.34,Exploitation source IP,AUG 4,https://thehackernews.com/2026/08/cisa-adds-exploited-n-able-n-central.html https://thehackernews.com/2026/08/n-able-says-attackers-take-over-n.html
"CVE-2026-18577 — N-able N-central auth bypass, RMM-to-endpoint pivot",HIGH,CVE · EXPLOITED · KEV,ip,net,37[.]19[.]210[.]32,37.19.210.32,Exploitation source IP,AUG 4,https://thehackernews.com/2026/08/cisa-adds-exploited-n-able-n-central.html https://thehackernews.com/2026/08/n-able-says-attackers-take-over-n.html
"CVE-2026-18577 — N-able N-central auth bypass, RMM-to-endpoint pivot",HIGH,CVE · EXPLOITED · KEV,ip,net,68[.]235[.]46[.]214,68.235.46.214,Exploitation source IP,AUG 4,https://thehackernews.com/2026/08/cisa-adds-exploited-n-able-n-central.html https://thehackernews.com/2026/08/n-able-says-attackers-take-over-n.html
"CVE-2026-18577 — N-able N-central auth bypass, RMM-to-endpoint pivot",HIGH,CVE · EXPLOITED · KEV,filename,host,svchost.exe (in a user's Documents folder),svchost.exe (in a user's Documents folder),Masquerading dropped binary — real svchost never lives here,AUG 4,https://thehackernews.com/2026/08/cisa-adds-exploited-n-able-n-central.html https://thehackernews.com/2026/08/n-able-says-attackers-take-over-n.html
"CVE-2026-18577 — N-able N-central auth bypass, RMM-to-endpoint pivot",HIGH,CVE · EXPLOITED · KEV,service,host,Cloudflared,Cloudflared,Legitimate tunnel tool registered as a service for covert access,AUG 4,https://thehackernews.com/2026/08/cisa-adds-exploited-n-able-n-central.html https://thehackernews.com/2026/08/n-able-says-attackers-take-over-n.html
"CVE-2026-18577 — N-able N-central auth bypass, RMM-to-endpoint pivot",HIGH,CVE · EXPLOITED · KEV,detection,host,"Admin username ""MSP Support""","Admin username ""MSP Support""",Default operator account used in the intrusions,AUG 4,https://thehackernews.com/2026/08/cisa-adds-exploited-n-able-n-central.html https://thehackernews.com/2026/08/n-able-says-attackers-take-over-n.html
CVE-2026-20316 — Cisco Secure FMC static-credential zero-day,HIGH,CVE · EXPLOITED 0-DAY,cve,host,CVE-2026-20316,CVE-2026-20316,Static built-in low-priv credentials — unauth read access to FMC,JUL 29,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-fmc-static-cred-BET3Cjh.html https://thehackernews.com/2026/07/cisco-fmc-zero-day-actively-exploited.html
CVE-2026-20316 — Cisco Secure FMC static-credential zero-day,HIGH,CVE · EXPLOITED 0-DAY,patch,host,Cisco FMC hotfixes: 7.0 / 7.2 / 7.4 / 7.6 / 7.7 / 10.0,Cisco FMC hotfixes: 7.0 / 7.2 / 7.4 / 7.6 / 7.7 / 10.0,No workaround — hotfix only; Cloud-Delivered FMC not affected,JUL 29,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-fmc-static-cred-BET3Cjh.html https://thehackernews.com/2026/07/cisco-fmc-zero-day-actively-exploited.html
CVE-2026-20316 — Cisco Secure FMC static-credential zero-day,HIGH,CVE · EXPLOITED 0-DAY,detection,host,Login by the built-in low-privilege FMC account,Login by the built-in low-privilege FMC account,Chains with other FMC flaws to escalate,JUL 29,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-fmc-static-cred-BET3Cjh.html https://thehackernews.com/2026/07/cisco-fmc-zero-day-actively-exploited.html
CNBackdoor — multi-stage Windows backdoor with scheduled-task persistence,MEDIUM,BACKDOOR · WINDOWS,sha256,hash,1d5d0dfa7d49213f59f48704305762a936492c57026336a0ff56eafdf5710a48,1d5d0dfa7d49213f59f48704305762a936492c57026336a0ff56eafdf5710a48,Installer_v3500_x64.exe (CNBackdoor installer),AUG 7,https://www.cyfirma.com/news/weekly-intelligence-report-7-aug-2026/
CNBackdoor — multi-stage Windows backdoor with scheduled-task persistence,MEDIUM,BACKDOOR · WINDOWS,domain,net,tommysbakescodes[.]ws,tommysbakescodes.ws,CNBackdoor C2 domain,AUG 7,https://www.cyfirma.com/news/weekly-intelligence-report-7-aug-2026/
CNBackdoor — multi-stage Windows backdoor with scheduled-task persistence,MEDIUM,BACKDOOR · WINDOWS,url,net,https://tommysbakescodes[.]ws/mnlinmwv/insris.php,https://tommysbakescodes.ws/mnlinmwv/insris.php,C2 endpoint (also /mnlinmwv/insirs.php),AUG 7,https://www.cyfirma.com/news/weekly-intelligence-report-7-aug-2026/
CNBackdoor — multi-stage Windows backdoor with scheduled-task persistence,MEDIUM,BACKDOOR · WINDOWS,filename,host,PathMarker.vbs,PathMarker.vbs,"Component (also InterPartHKIAsync.exe, ioextender.exe)",AUG 7,https://www.cyfirma.com/news/weekly-intelligence-report-7-aug-2026/
CNBackdoor — multi-stage Windows backdoor with scheduled-task persistence,MEDIUM,BACKDOOR · WINDOWS,path,host,%AppData%\Roaming\ExtendedMonitor\,%AppData%\Roaming\ExtendedMonitor\,Staging directory,AUG 7,https://www.cyfirma.com/news/weekly-intelligence-report-7-aug-2026/
CNBackdoor — multi-stage Windows backdoor with scheduled-task persistence,MEDIUM,BACKDOOR · WINDOWS,detection,host,"Scheduled task ""Extended API 0136301""","Scheduled task ""Extended API 0136301""",Persistence mechanism,AUG 7,https://www.cyfirma.com/news/weekly-intelligence-report-7-aug-2026/
KansasGroup ransomware — .kansas4life encryptor,MEDIUM,RANSOMWARE · WINDOWS,filename,host,KANSASGROUP.txt,KANSASGROUP.txt,Ransom note filename,AUG 7,https://www.cyfirma.com/news/weekly-intelligence-report-7-aug-2026/
KansasGroup ransomware — .kansas4life encryptor,MEDIUM,RANSOMWARE · WINDOWS,marker,host,.kansas4life,.kansas4life,Appended encrypted-file extension,AUG 7,https://www.cyfirma.com/news/weekly-intelligence-report-7-aug-2026/
KansasGroup ransomware — .kansas4life encryptor,MEDIUM,RANSOMWARE · WINDOWS,detection,host,Uncommon svchost command-line parameter (Sigma),Uncommon svchost command-line parameter (Sigma),Execution tell for the encryptor,AUG 7,https://www.cyfirma.com/news/weekly-intelligence-report-7-aug-2026/
